Name	Reactants	SMARTS	Products
0_0	Any;WATER	[*:1]-[C&D2&v4&H0&+0&!R&z2:2]#[N&D1&v3&H0&+0&!R:3].[O&D0&v2&H2&+0&!R:4]>>[*:1]-[C&D3&v4&H0&+0&!R&z3:2](-[N&D1&v3&H2&+0&!R:3])=[O&D1&v2&H0&+0&!R:4]	Any
1_0	Any;WATER	[*:1]-[C&D2&v4&H0&+0&!R&z2:2]#[N&D1&v3&H0&+0&!R:3].[O&D0&v2&H2&+0&!R:4]>>[*:1]-[C&D2&v4&H1&+0&!R&z2:2]=[N&D2&v3&H0&+0&!R:3]-[O&D1&v2&H1&+0&!R:4]	Any
2_0	Any;Any;O2	[*:1]-[C&D3&v4&H1&+0&!R&z3:2](-[*:3])-[S&D1&v2&H1&+0&!R:4].[*:5]-[C&D3&v4&H1&+0&!R&z3:6](-[*:7])-[S&D1&v2&H1&+0&!R:8].[O&D1&v2&H0&+0&!R:9]=[O&D1&v2&H0&+0&!R:10]>>[*:1]-[C&D3&v4&H1&+0&!R&z3:2](-[*:3])-[S&D2&v2&H0&+0&!R:4]-[S&D2&v2&H0&+0&!R:8]-[C&D3&v4&H1&+0&!R&z3:6](-[*:5])-[*:7].[O&D1&v2&H1&+0&!R:9]-[O&D1&v2&H1&+0&!R:10]	Any;H2O2
3_0	Any;H2O2	[*:1]-[C&D3&v4&H1&+0&!R&z3:2](-[*:3])-[S&D2&v2&H0&+0&!R:4]-[S&D2&v2&H0&+0&!R:5]-[C&D3&v4&H1&+0&!R&z3:6](-[*:7])-[*:8].[O&D1&v2&H1&+0&!R:9]-[O&D1&v2&H1&+0&!R:10]>>[*:1]-[C&D3&v4&H1&+0&!R&z3:2](-[*:3])-[S&D1&v2&H1&+0&!R:4].[*:7]-[C&D3&v4&H1&+0&!R&z3:6](-[*:8])-[S&D1&v2&H1&+0&!R:5].[O&D1&v2&H0&+0&!R:9]=[O&D1&v2&H0&+0&!R:10]	Any;Any;O2
4_0	Any	[*:1]-[C&D3&v4&H0&+0&!R&z1:2](=[C&D2&v4&H1&+0&!R&z0:3]-[c&D3&v4&H0&+0&R&z0:4](:[c&D3&v4&H0&+0&R&z1:5]):[c&D3&v4&H0&+0&R&z1:6])-[C&D3&v4&H0&+0&!R&z1:7](=[O&D1&v2&H0&+0&!R:8])-[c&D3&v4&H0&+0&R&z0:9]:[c&D3&v4&H0&+0&R&z1:10](:[c&D3&v4&H0&+0&R&z1:11])-[O&D1&v2&H1&+0&!R:12]>>[c&D3&v4&H0&+0&R&z1:5]:[c&D3&v4&H0&+0&R&z0:4](-[C&D3&v4&H1&+0&R&z1:3]1-[O&D2&v2&H0&+0&R:12]-[c&D3&v4&H0&+0&R&z1:10](:[c&D3&v4&H0&+0&R&z1:11]):[c&D3&v4&H0&+0&R&z0:9]-[C&D3&v4&H0&+0&R&z1:7](=[O&D1&v2&H0&+0&!R:8])-[C&D3&v4&H1&+0&R&z1:2]-1-[*:1]):[c&D3&v4&H0&+0&R&z1:6]	Any
5_0	Any;H2O2	[*:1]-[C&D3&v4&H0&+0&!R&z2:2](=[N&D1&v3&H1&+0&!R:3])-[C&D3&v4&H0&+0&!R&z2:4](=[O&D1&v2&H0&+0&!R:5])-[O&D1&v2&H1&+0&!R:6].[O&D1&v2&H1&+0&!R:7]-[O&D1&v2&H1&+0&!R:8]>>[*:1]-[C&D3&v4&H1&+0&!R&z2:2](-[N&D1&v3&H2&+0&!R:3])-[C&D3&v4&H0&+0&!R&z2:4](=[O&D1&v2&H0&+0&!R:5])-[O&D1&v2&H1&+0&!R:6].[O&D1&v2&H0&+0&!R:7]=[O&D1&v2&H0&+0&!R:8]	Any;O2
6_0	Any;WATER	[*:1]-[C&D3&v4&H0&+0&!R&z3:2](=[N&D2&v3&H0&+0&!R:3])-[S&D2&v2&H0&+0&!R:4]-[C&D3&v4&H1&+0&R&z2:5](-[O&D2&v2&H0&+0&R:6]-[C&D3&v4&H1&+0&R&z1:7])-[C&D3&v4&H1&+0&R&z1:8](-[C&D3&v4&H1&+0&R&z1:9])-[O&D1&v2&H1&+0&!R:10].[O&D0&v2&H2&+0&!R:11]>>[*:1]-[C&D3&v4&H0&+0&!R&z3:2](-[S&D1&v2&H1&+0&!R:4])=[N&D2&v3&H0&+0&!R:3].[C&D3&v4&H1&+0&R&z1:7]-[O&D2&v2&H0&+0&R:6]-[C&D3&v4&H1&+0&R&z2:5](-[O&D1&v2&H1&+0&!R:11])-[C&D3&v4&H1&+0&R&z1:8](-[O&D1&v2&H1&+0&!R:10])-[C&D3&v4&H1&+0&R&z1:9]	Any;Any
7_0	Any;Any	[*:1]-[C&D3&v4&H0&+0&!R&z2:2](=[O&D1&v2&H0&+0&!R:3])-[C&D3&v4&H1&+0&!R&z1:4](-[*:5])-[C&D3&v4&H0&+0&!R&z2:6].[N&D1&v3&H2&+0&!R:7]-[C&D3&v4&H0&+0&!R&z2:8](=[O&D1&v2&H0&+0&!R:9])-[C&D3&v4&H0&+0&R&z0:10]1=[C&D2&v4&H1&+0&R&z1:11]-[N&D3&v3&H0&+0&R:12](-[C&D3&v4&H1&+0&R&z2:13](-[O&D2&v2&H0&+0&R:14])-[C&D3&v4&H1&+0&R&z1:15])-[C&D2&v4&H1&+0&R&z1:16]=[C&D2&v4&H1&+0&R&z0:17]-[C&D2&v4&H2&+0&R&z0:18]-1>>[*:1]-[C&D3&v4&H1&+0&!R&z2:2](-[O&D1&v2&H1&+0&!R:3])-[C&D3&v4&H1&+0&!R&z1:4](-[*:5])-[C&D3&v4&H0&+0&!R&z2:6].[N&D1&v3&H2&+0&!R:7]-[C&D3&v4&H0&+0&!R&z2:8](=[O&D1&v2&H0&+0&!R:9])-[c&D3&v4&H0&+0&R&z0:10]1:[c&D2&v4&H1&+0&R&z0:18]:[c&D2&v4&H1&+0&R&z0:17]:[c&D2&v4&H1&+0&R&z1:16]:[n&D3&v4&H0&+&R:12](-[C&D3&v4&H1&+0&R&z2:13](-[O&D2&v2&H0&+0&R:14])-[C&D3&v4&H1&+0&R&z1:15]):[c&D2&v4&H1&+0&R&z1:11]:1	Any;Any
7_1	Any;NADH_CoF	[*:1]-[C&D3&v4&H0&+0&!R&z2:2](=[O&D1&v2&H0&+0&!R:3])-[C&D3&v4&H1&+0&!R&z1:4](-[*:5])-[C&D3&v4&H0&+0&!R&z2:6].[N&D1&v3&H2&+0&!R:7]-[C&D3&v4&H0&+0&!R&z2:8](=[O&D1&v2&H0&+0&!R:9])-[C&D3&v4&H0&+0&R&z0:10]1=[C&D2&v4&H1&+0&R&z1:11]-[N&D3&v3&H0&+0&R:12](-[C&D3&v4&H1&+0&R&z2:13](-[O&D2&v2&H0&+0&R:14])-[C&D3&v4&H1&+0&R&z1:15])-[C&D2&v4&H1&+0&R&z1:16]=[C&D2&v4&H1&+0&R&z0:17]-[C&D2&v4&H2&+0&R&z0:18]-1>>[*:1]-[C&D3&v4&H1&+0&!R&z2:2](-[O&D1&v2&H1&+0&!R:3])-[C&D3&v4&H1&+0&!R&z1:4](-[*:5])-[C&D3&v4&H0&+0&!R&z2:6].[N&D1&v3&H2&+0&!R:7]-[C&D3&v4&H0&+0&!R&z2:8](=[O&D1&v2&H0&+0&!R:9])-[c&D3&v4&H0&+0&R&z0:10]1:[c&D2&v4&H1&+0&R&z0:18]:[c&D2&v4&H1&+0&R&z0:17]:[c&D2&v4&H1&+0&R&z1:16]:[n&D3&v4&H0&+&R:12](-[C&D3&v4&H1&+0&R&z2:13](-[O&D2&v2&H0&+0&R:14])-[C&D3&v4&H1&+0&R&z1:15]):[c&D2&v4&H1&+0&R&z1:11]:1	Any;NAD_CoF
8_0	Any;Any	[*:1]-[C&D3&v4&H1&+0&!R&z2:2](-[N&D2&v3&H1&+0&!R:3]-[C&D3&v4&H0&+0&!R&z2:4](=[O&D1&v2&H0&+0&!R:5])-[C&D2&v4&H2&+0&!R&z0:6]-[C&D2&v4&H2&+0&!R&z0:7])-[C&D3&v4&H0&+0&!R&z2:8].[C&D3&v4&H0&+0&!R&z2:9]-[C&D3&v4&H1&+0&!R&z2:10](-[*:11])-[N&D1&v3&H2&+0&!R:12]>>[*:1]-[C&D3&v4&H1&+0&!R&z2:2](-[N&D1&v3&H2&+0&!R:3])-[C&D3&v4&H0&+0&!R&z2:8].[C&D3&v4&H0&+0&!R&z2:9]-[C&D3&v4&H1&+0&!R&z2:10](-[*:11])-[N&D2&v3&H1&+0&!R:12]-[C&D3&v4&H0&+0&!R&z2:4](=[O&D1&v2&H0&+0&!R:5])-[C&D2&v4&H2&+0&!R&z0:6]-[C&D2&v4&H2&+0&!R&z0:7]	Any;Any
